Precision: 9, Step Size: 2, Epsilon: 1, Iteration: 15, Optimum: 171
Precision: 9, Step Size: 4, Epsilon: 1, Iteration: 7, Optimum: 162
Precision: 9, Step Size: 4, Epsilon: 2, Iteration: 7, Optimum: 162
Precision: 10, Step Size: 2, Epsilon: 1, Iteration: 31, Optimum: 347
Precision: 10, Step Size: 4, Epsilon: 1, Iteration: 16, Optimum: 334
Precision: 10, Step Size: 4, Epsilon: 2, Iteration: 13, Optimum: 329
Precision: 10, Step Size: 8, Epsilon: 1, Iteration: 9, Optimum: 325
Precision: 10, Step Size: 8, Epsilon: 2, Iteration: 8, Optimum: 324
Precision: 10, Step Size: 8, Epsilon: 4, Iteration: 7, Optimum: 322
Precision: 11, Step Size: 2, Epsilon: 1, Iteration: 63, Optimum: 698
Precision: 11, Step Size: 4, Epsilon: 1, Iteration: 34, Optimum: 678
Precision: 11, Step Size: 4, Epsilon: 2, Iteration: 28, Optimum: 667
Precision: 11, Step Size: 8, Epsilon: 1, Iteration: 18, Optimum: 667
Precision: 11, Step Size: 8, Epsilon: 2, Iteration: 18, Optimum: 667
Precision: 11, Step Size: 8, Epsilon: 4, Iteration: 15, Optimum: 660
Precision: 11, Step Size: 16, Epsilon: 1, Iteration: 10, Optimum: 648
Precision: 11, Step Size: 16, Epsilon: 2, Iteration: 9, Optimum: 647
Precision: 11, Step Size: 16, Epsilon: 4, Iteration: 8, Optimum: 645
Precision: 11, Step Size: 16, Epsilon: 8, Iteration: 7, Optimum: 641
Precision: 12, Step Size: 2, Epsilon: 1, Iteration: 128, Optimum: 1403
Precision: 12, Step Size: 4, Epsilon: 1, Iteration: 70, Optimum: 1366
Precision: 12, Step Size: 4, Epsilon: 2, Iteration: 56, Optimum: 1339
Precision: 12, Step Size: 8, Epsilon: 1, Iteration: 41, Optimum: 1355
Precision: 12, Step Size: 8, Epsilon: 2, Iteration: 33, Optimum: 1340
Precision: 12, Step Size: 8, Epsilon: 4, Iteration: 30, Optimum: 1330
Precision: 12, Step Size: 16, Epsilon: 1, Iteration: 21, Optimum: 1333
Precision: 12, Step Size: 16, Epsilon: 2, Iteration: 20, Optimum: 1332
Precision: 12, Step Size: 16, Epsilon: 4, Iteration: 18, Optimum: 1327
Precision: 12, Step Size: 16, Epsilon: 8, Iteration: 15, Optimum: 1312
Precision: 12, Step Size: 32, Epsilon: 1, Iteration: 12, Optimum: 1297
Precision: 12, Step Size: 32, Epsilon: 2, Iteration: 10, Optimum: 1294
Precision: 12, Step Size: 32, Epsilon: 4, Iteration: 10, Optimum: 1294
Precision: 12, Step Size: 32, Epsilon: 8, Iteration: 9, Optimum: 1292
Precision: 12, Step Size: 32, Epsilon: 16, Iteration: 7, Optimum: 1278
Precision: 13, Step Size: 2, Epsilon: 1, Iteration: 257, Optimum: 2811
Precision: 13, Step Size: 4, Epsilon: 1, Iteration: 142, Optimum: 2742
Precision: 13, Step Size: 4, Epsilon: 2, Iteration: 111, Optimum: 2681
Precision: 13, Step Size: 8, Epsilon: 1, Iteration: 84, Optimum: 2730
Precision: 13, Step Size: 8, Epsilon: 2, Iteration: 68, Optimum: 2699
Precision: 13, Step Size: 8, Epsilon: 4, Iteration: 61, Optimum: 2678
Precision: 13, Step Size: 16, Epsilon: 1, Iteration: 40, Optimum: 2693
Precision: 13, Step Size: 16, Epsilon: 2, Iteration: 39, Optimum: 2692
Precision: 13, Step Size: 16, Epsilon: 4, Iteration: 36, Optimum: 2683
Precision: 13, Step Size: 16, Epsilon: 8, Iteration: 31, Optimum: 2655
Precision: 13, Step Size: 32, Epsilon: 1, Iteration: 25, Optimum: 2667
